ID в ИС ГТИБД,Название,Название (англ.),Тип,Страна,Адрес,Район,Телефоны,Сайт,Электронная почта,Описание,Описание (англ.),Время работы,Доступно для лиц с ограниченными возможностями,Геопозиция,ОГРН,ИНН
3308,Особняк Румянцева,Rumyantsev's mansion,гос.федеральное учреждение,Россия,"190121, Санкт-Петербург, Английская наб., 44",Адмиралтейский,+7 (812) 571-75-44,spbmuseum.ru,spbmuseuminfo@yandex.ru,"Особняк Румянцева - памятник архитектуры классицизма первой половины XIX века. Его владельцами в разное время были граф Н.П. Румянцев и герцоги Лейхтенбергские. Сегодня в особняке можно увидеть сохранившиеся подлинные интерьеры второй половины XIX века; экспозиции, посвященные истории Ленинграда 1920-1940-х годов.","An early XIX century architectural monument, the building was owned by Count Nikolai Rumyantsev and, later, by Dukes of Leichtenberg. Boasting its genuine surviving late XIX century interiors, it also houses exhibitions on the history of Leningrad in 1920-1940's.","пн-вт, чт-вс: 11:00-18:00 (касса до 17:00)
ср - выходной",нет,"59.932326,30.289556",1037828028677.0,7813080598.0
3312,Петропавловская крепость,St. Peter and Paul Fortress,гос.федеральное учреждение,Россия,"197046, Санкт-Петербург, Петропавловская крепость",Петроградский,+7 (812) 330-64-31,spbmuseum.ru,spbmuseuminfo@yandex.ru,"Петропавловская крепость, основанная Петром I в 1703 году, - уникальный памятник истории, архитектуры и фортификационного искусства XVIII-XX веков. Доминанта архитектурного ансамбля - Петропавловский собор (1712-1733, арх. Д. Трезини).","Founded by Peter the Great in 1703, St. Peter and Paul Fortress is considered a unique historical, architectural and fortification art monument of XVIII-XIX centuries. Its architectural ensemble is focused around St. Peter and Paul Cathedral built in 1712-1733 by architect Domenico Tresini.","Территория крепости (в границах крепостных стен)
пн-вс 09.00-20:00

Собор и Тюрьма 
пн, чт-сб: 10:00-18:00
вт: 10:00-17:00
ср: выходной
вс: Петропавловский собор 11:00-18:00",нет,"59.950111,30.315128",1077800029548.0,7838029272.0
3313,Свято-Троицкая Александро-Невская лавра,Holy Trinity Alexander Nevsky Lavra,гос.федеральное учреждение,Россия,"191167, Санкт-Петербург, наб. реки Монастырки, 1",Центральный,+7 (812) 400-39-33; +7 (911) 233-89-57,lavra.spb.ru,museumlavraspb@gmail.com,"Основан в 1710 году Петром I, этот православный монастырь является самым главным в Санкт-Петербурге. На территории монастыря стоит посетить Троицкий собор, а также кладбище, где расположены могилы известнейших русских композиторов и поэтов.","Founded by Peter the Great in 1710, this orthodox monastery is the most important in St. Petersburg. The St. Trinity Cathedral is worth a visit and so is the cemetery, where you can visit graves of Russia's greatest composers and writers.","ср, пт, вс: 12:00-17:00",нет,"59.921038,30.388737",1037858018549.0,7825667126.0
3317,Смольный собор,Smolny Cathedral,гос.федеральное учреждение,Россия,"191060, Санкт-Петербург, площадь Растрелли, 1",Центральный,+7 (812) 400-24-37,cathedral.ru,dirsmolny@cathedral.ru,Смольный Воскресения Христова собор входит в состав архитектурного ансамбля Смольного монастыря. Является также концертной площадкой классической музыки.,Smolny Cathedral of the Resurrection of Christ is a part of architectural ensemble of Smolniy monastery. The Cathedral is also a place for classical music concerts.,"11:00–18:00, выходной день – среда",нет,"59.948795,30.395549",1037843072519.0,7815020555.0
3318,Храм Успения Пресвятой Богородицы (Блокадный храм),Church of the Assumption to Small Okhta (Blockade Temple),гос.федеральное учреждение,Россия,"Санкт-Петербург, Малоохтинский проспект, д. 52",Красногвардейский,+7(812)5281150;,moyhram.org,prihoduspeniya@yandex.ru,Храм был построен в 2000-2001 гг. в память о событиях Великой Отечественной Войны и является местом особого молитвенного поминовения усопших в дни блокады.,The Church was built in 2000-2001 in memory of the II World War. Nowadays is considered a place of memory of the fallen in the Blockade.,ежедневно с 9-ти до 19-ти часов,нет,"59.933066,30.403831",1027800014131.0,7809026407.0
3319,Церковь воскресения Христова (Спас на Крови),Church of the Resurrection (Church of the Savior on Blood),государственное федеральное учреждение,Россия,"191011, Санкт-Петербург, наб. канала Грибоедова, 2, литера А",Центральный,+7(812)3151636;,cathedral.ru,dirspas@cathedral.ru,"Государственный исторический собор с уникальной декоративной мозаикой. Собор сооружён в память того, что на этом месте 1 марта 1881 года в результате покушения был смертельно ранен император Александр II.",State historical monument with unique mosaic decorations. This Church was built on the place where Tsar Alexander II was assassinated and was dedicated in his memory.,"С 10:30 до 18:00
Выходной день – среда
Вечерние программы музея
С 18:00 до 22:30
(действует с 1 мая по 30 сентября, выходной день – среда)",нет,"59.939971,30.329083",1027810284810.0,7812025107.0
4120,"Музей и галереи современного искусства ""Эрарта""","""Erarta"", Museum and Galleries of Contemporary Art",частный,Россия,"199106, Санкт-Петербург, 29-я линия В.О., 2",Василеостровский,+7 (812) 324-08-09,erarta.com,info@erarta.com,Самый крупный негосударственный музей современного искусства в России,The largest private modern art museum in Russia,ср-пн 10:00-22:00,нет,"59.931788,30.251674",5067847155877.0,7802360579.0
4121,Астрономический музей Главной (Пулковской) астрономической обсерватории Российской Академии наук,Pulkovo Observatory of Russian Academy of Sciences,государственное федеральное (ведомственное) учреждение,Россия,"196140, Санкт-Петербург, Пулковское ш., 65 корп. 1",Московский,"Тел.:
+7 (812) 363-7207
(пн.-пт. 10-17, перерыв 13-14)

Факс:
+7 (812) 363-7175
Экскурсионная группа:

Диспетчер:
+7 (812) 363-7044, 946-59-15
(пн.-пт. 11-17)",http://www.gaoran.ru/,"map@gaoran.ru, press_gao@gaoran.ru, pulkovoexc@gmail.com","Естественно-научный музей, посвященный российской астрономии, объект Всемирного наследия ЮНЕСКО","Scientific museum dedicated to Russian astronomy, UNESCO World Heritage Site","Только по предварительной заявке, в составе экскурсионной группы
Заявки принимаются диспетчером «Экскурсионной группы ГАО» 
пн-пт: 11:00-17:00
сб-вс: вых.
по мобильному телефону +7 (812) 946-59-15, +7 (812) 363-70-44.",нет,"59.771644,30.326226",2147483647.0,7810207327.0
4122,Ботанический институт им. В.Л. Комарова Российской Академии наук. Ботанический музей,Russian Academy of Sciences Botanical Museum,государственное федеральное (ведомственное) учреждение,Россия,"197022, Санкт-Петербург, Профессора Попова ул., 2",Петроградский,"+7 (812) 372-54-15
+7 (812) 372-54-64","binran.ru/structure/museum, http://botsad-spb.com/",bot_museum@mail.ru,Коллекция музея - натуральные экспонаты из различных регионов Земли,Museum's cillection - natural objects from different regions of the Earth,"вт-чт, сб-вс 11:00-17:00 
(касса до 16.00)
в июле-августе музей закрыт
экскурсии для групп до 20 чел.",нет,"59.97115,30.322902",2147483647.0,7813045480.0
4123,"Военно-исторический музей артиллерии, инженерных войск и войск связи","Military-Historical Museum of Artillery, Engineer and Signal Corps",государственное федеральное (ведомственное) учреждение,Россия,"197101, Санкт-Петербург, Александровский парк, 7",Петроградский,+7 (812) 232-02-96; +7 (812) 498-09-34,artillery-museum.ru,artillerymuseum_dm@mil.ru,Один из крупнейших военно-исторических музеев мира,One of the largest military historical museums of the world,"ср-вс 11:00-18:00, 
кроме последнего чт месяца",нет,"59.954737,30.318321",1037828002740.0,7813045850.0
4125,Военно-медицинский музей Министерства обороны Российской Федерации,Army Medical Museum of The Ministry of Defense of the Russian Federation,государственное федеральное (ведомственное) учреждениеu,Россия,"191180, Санкт-Петербург, Лазаретный пер., 2",Адмиралтейский,Телефон музея: +7 (812) 315-91-69Заказ экскурсий: +7 (812) 952-55-43,milmed.spb.ru,milmedmuseum@mil.ru,"Музей, посвященный истории и достижениям военной медицины в России",Museum dedicated to the history and achivements of military medicine in Russia,"ПН, ЧТ, ПТ, СБ, ВС - с 11.00 до 19.00
СР - с 12.00 до 20.00
ВТ - выходной, последний рабочий день каждого месяца",нет,"59.920609,30.326037",1037851010812.0,7826001561.0
4126,Всероссийский музей А.С. Пушкина. Мемориальный Музей-квартира А. С. Пушкина,National Pushkin Museum,федеральные (Министерство Культуры РФ),Россия,"191186, Санкт-Петербург, наб. р. Мойки, 12",Центральный,+7 (812) 571-35-31,museumpushkin.ru,vmp@museumpushkin.ru,Мемориальная квартира - последнее место проживания поэта А.С.Пушкина,Memorial apartment is the last lodgings of Russian poet Alexander Pushkin,"ср-пн 10:30-18:00
кроме последней пт месяца",нет,"59.941083,30.321312",1027809250699.0,7825046513.0
4127,Всероссийский музей А.С. Пушкина. Мемориальный Музей-квартира Н.А. Некрасова,National Pushkin Museum. Memorial Apartment of N.A.Nekrasov,федеральные (Министерство Культуры РФ),Россия,"191014, Санкт-Петербург, Литейный пр., 36",Центральный,+7 (812) 272-01-65,museumpushkin.ru,vmp@museumpushkin.ru.,Мемориальная квартира поэта и писателя Н.А. Некрасова,Memorial apartment of Russian poet and writer Nikolay Nekrasov,"ср-пн 10:30-18:00, кроме последней пятницы месяца",нет,"59.939329,30.349232",1027809250699.0,7825046513.0
4128,Всероссийский музей А.С. Пушкина. Мемориальный Музей-Лицей,National Pushkin Museum. Memorial Lyceum Museum,федеральные (Министерство Культуры РФ),Россия,"196600, Санкт-Петербург, г. Пушкин, Садовая ул., 2",Пушкинский,+7 (812) 476-64-11,museumpushkin.ru,vmp@museumpushkin.ru,Музей Царскосельского Императорского Лицея в Царском Селе,Museum of the Imperial Lyceum in Tsarskoye Selo,"Музей-Лицей: ежедневно с 10:30 до 18:00 (касса до 17:00), вт – выходной.
Последняя пятница месяца – санитарный день",нет,"59.717295,30.397776",1027809250699.0,7825046513.0
4129,Всероссийский музей А.С. Пушкина. Музей-дача А.С. Пушкина,National Pushkin Museum. Alexander Pushkin Memorial Country House.,федеральные (Министерство Культуры РФ),Россия,"196607, Санкт-Петербург, г. Пушкин, Пушкинская ул., 2/19",Пушкинский,+7 (812) 451-69-81,museumpushkin.ru,vmp@museumpushkin.ru,Мемориальная дача А.С. Пушкина,Summer Cottage rented by Russian poet Alexander Pushkin,"ср-вс 10:30-18:00, кроме последней пт месяца",нет,"59.723988,30.400121",1027809250699.0,7825046513.0
4130,Всероссийский музей А.С. Пушкина. Музей-усадьба Г.Р. Державина,National Pushkin Museum. Mansion-museum of  G.R.Derzhavin,федеральные (Министерство Культуры РФ),Россия,"190005, Санкт-Петербург, наб. р. Фонтанки, 118",Адмиралтейский,"(812) 713-07-17, (812) 335-09-82 (Восточный корпус), (812) 493-45-49 (Западный корпус)",museumpushkin.ru,vmp@museumpushkin.ru,"Городская усадьба XVIII века, принадлежавшая Г.Р. Державину",City mansion of XVIII century was owned by Gavriil Derzhavin,"четверг с 12:00 до 20:00 (касса до — 19:00)
пятница — воскресенье с 10:30 до 18:00 (касса — до 17:00)

Усадебный сад работает ежедневно с 10:00 до 19:00. Касса с 10:00 до 18:00. Вход в сад по билетам.",нет,"59.918972,30.309894",1027809250699.0,7825046513.0
4131,Горный музей Санкт-Петербургского государственного горного института им. Г.В. Плеханова,G. V. Plekhanov Saint-Petersburg State Mining University Mining Museum,федеральные (ведомственные),Россия,"199106, Санкт-Петербург, 21 линия д.2;
наб. Лейтенанта Шмидта, д. 45/2",Василеостровский,+7 (812) 321-40-82; +7 (812) 328-80-35;,spmi.ru/gornyi-muzei,"museum_spmi@spmi.ru, excursion@spmi.ru",Естественно-научный музей с уникальной коллекцией минералов,Scientific museum with unique mineralogical collection,"пн-пт - только экскурсионное обслуживание по предварительной записи 
пн-чт 09:00 - 17.15
пт 09:00 - 16:15
сб: запись перед экскурсией в порядке живой очереди 
экскурсии в 11:00 и 13:00 (группы не более 20 человек)",нет,"59.930047,30.269039",1027800507591.0,7801021076.0
4132,"Государственный комплекс ""Дворец конгрессов"" (Константиновский дворец)",State complex “The National Congress Palace”,гос. федеральное учреждение,Россия,"198515, Санкт-Петербург, п. Стрельна, Березовая аллея, 3",Петродворцовый,+7 (812) 438-53-50; +7 (812) 438-53-65,konstantinpalace.ru,"konstantinpalace@mail.ru,  press@strelna.info","Памятник архитектуры XVIII в., резиденция Президента РФ","Monument of XVIII century, residence of Russian President","чт-вт 10.00 - 18.00 
касса до 16:00
только в составе экскурсионной группы",нет,"59.85665,30.064448",1047833022698.0,7826700432.0
4133,Государственный литературно-мемориальный музей Анны Ахматовой в Фонтанном Доме,The Museum of Anna Akhmatova,Городские (комитет по культуре),Россия,"191014, Санкт-Петербург, Литейный пр., 53",Центральный,+7 (812) 272-22-11; +7 (812) 579-72-39; +7 (812) 272-18-11,akhmatova.spb.ru,"aaa_museum@mail.ru, akhmatova-museum@mail.ru","Биографическая и литературоведческая экспозиции, посвященные поэтессы А.А.Ахматовой",Biographical and literary expositions dedicated to Russian poet Anna Akhmatova,"вт, чт-сб 10:30-18:30 
ср 12.00-20.00 
пн - вых.",да,"59.936341,30.345539",1027809210274.0,7825704794.0
4134,"Государственный литературно-мемориальный музей Анны Ахматовой в Фонтанном Доме, Мемориальный музей-квартира Льва Гумилева",Lev Gumilev Memorial Apartment,Городские (комитет по культуре),Россия,"191040, Санкт-Петербург, Коломенская ул., 1/15, кв.4",Центральный,+7 (812) 571-09-52,akhmatova.spb.ru/exhibitions/gumilev,gumilev.museum@yandex.ru,Мемориальная квартира ученого и поэта Л.Н.Гумилева,Memorial apartment of Russian scientist and poet Leo Gumilev,"вт-вс: 11:00-18:00, пн - вых",нет,"59.926675,30.355053",1027809210274.0,7825704794.0
4135,"Государственный литературный музей "" XX век""","State Literary Museum "" The XXth Century""",Городские (комитет по культуре),Россия,"191186, Санкт-Петербург, ул. Малая Конюшенная, 4/2, кв. 119",Центральный,+7 (812) 571-78-19,museum-xxvek.ru,info@museum-xxvek.ru,Мемориальная квартира М.М.Зощенко и музей советской литературы ХХ века,"Memorial apartment of Mikhail Zoshchenko, the exposition dedicated to Soviet literature of XX century","вт, чт-вс 10:30-18:30, ср 12:00-20:00. Выходные: пн, последняя пт месяца",нет,"59.936566,30.325372",1037843057372.0,7825121827.0
4136,Государственный мемориальный музей А.В. Суворова,State Memorial Museum of A.V. Suvorov,Городские (комитет по культуре),Россия,"191015, Санкт-Петербург, ул. Кирочная, 43",Центральный,"+7 (812) 274-28-50
Справки и заявки на экскурсии:
+7 (812) 579-39-14",suvorovmuseum.ru,suvorovmuseum@mail.ru,"Музей, посвященный генералиссимусу Российской империи А.В.Суворову",Historical museum dedicated to the Generalissimo of the Russian Empire Alexander Suvorov,"вторник - воскресенье — 10.00-18.00
пн - выходной",нет,"59.943178,30.376576",1037843078063.0,7815016767.0
4137,Государственный мемориальный музей обороны и блокады Ленинграда,Museum of The Defense and The Siege of Leningrad,Городские (комитет по культуре),Россия,"191028, Санкт-Петербург, Соляной пер., 9",Центральный,+7 (812) 275-75-47,blokadamus.ru,gmmobl@mail.ru,"Музей, посвященный Блокаде Ленинграда в 1941-1944 гг.",Museum dedicated to Leningrad history in 1941-1944 years,"пн, чт-вс 10:00-17:00 
ср 12:30-21:00
вт, последний чт каждого месяца - вых.",нет,"59.944292,30.340958",1047841036286.0,7841015216.0
4138,"Государственный мемориальный музей обороны и блокады Ленинграда, Музей ""Дорога жизни""","Museum of The Defense and The Siege of Leningrad, "" The Road of Life "" Museum",Городские (комитет по культуре),Россия,"188710, Санкт-Петербург, Всеволожский район, пос. Коккорево, 27",Ленинградская область,+7 (812) 273-76-47; +7 (921) 993-96-87,blokadamus.ru,gmmobl@mail.ru,"Музей, посвященный ледовой переправе через Ладожское озеро в 1941-1944 гг.",Museum dedicated to the ice road on Ladoga Lake in 1941-1944 years,"10:00 - 13:00 
выходные дни: пн, вт, последний чт месяца. 
Посещение желательно согласовывать 
заранее с заведующим обособленной экспозицией",нет,"60.055798,31.073858",1127847018727.0,7839456076.0
4139,Государственный музей городской скульптуры,State Museum of Urban Sculpture,Городские (комитет по культуре),Россия,"191167, Санкт-Петербург, Невский пр., 179/2",Центральный,+7 (812) 274-26-35,gmgs.ru,monument.mgs@gmail.com,Единственный в России музей памятников в открытой городской среде,Unique Russian museum of monuments located in open city space,"Некрополь XVIII в.
09:30–16:30 
касса до 16:00
Без выходных

Некрополь Мастеров искусств
Все дни недели 
09:30–16:30
касса до 16 00

Некрополь ""Литераторские мостки""
Расстанная ул., 30
11:00–17:00
выходной четверг 
+7 (812) 766-23-83",нет,"59.923085,30.385137",1037843042632.0,7825440534.0
4140,"Государственный музей городской скульптуры, ""Нарвские Триумфальные ворота""","State Museum of Urban Sculpture. ""The Narva Triumphal Arch""",Городские (комитет по культуре),Россия,"198096, Санкт-Петербург, пл. Стачек, 1",Кировский,+7 (812) 786-97-82,gmgs.ru,nvorota@gmail.com,"Памятник архитектуры XIX века, выставочный зал",Monument of XIX century and exhibition hall,"ср 14:00-20:00 
чт-пт 11:00-17:00
выходные дни: пн, вт, последняя среда месяца",нет,"59.900881,30.273854",1037843042632.0,7825440534.0
4141,"Государственный музей городской скульптуры, Мастерская М.К. Аникушина",State Museum of Urban Sculpture. The Studio of M.K. Anikushin,Городские (комитет по культуре),Россия,"197022, Санкт-Петербург, Вяземский пер., 8, лит. А",Петроградский,+7 (812) 347-49-30,gmgs.ru,a.masterskaya@gmail.com,"Многофункциональный культурный центр с мемориальной экспозицией, посвященной скульптору М.К.Аникушину",Multifunctional cultural centre and memorial exposition dedicated to St. Petersburg sculptor Mikhail Anikushin,"ср-пт, вс 12.00-18.00
выходные дни: пн, вт, сб, последняя ср месяца",нет,"59.972879,30.299627",1037843042632.0,7825440534.0
4142,"Государственный музей городской скульптуры, Некрополь ""Литераторские мостки""","State Museum of Urban Sculpture.""Literatorskie Mostki"" Museum Necropolis",Городские (комитет по культуре),Россия,"192007, Санкт-Петербург, Расстанная ул.,30",Фрунзенский,+7 (812) 766-23-83,gmgs.ru,litmostki@gmail.com,Некрополь литераторов на Волковском православном кладбище,Literary figures' necropolis on Volkovskoe Ortodox Cemetery,"пн-ср, пн-вс 11:00–17:00
чт - вых.",нет,"59.904144,30.359445",1037843042632.0,7825440534.0
4143,Государственный музей истории религии,The State Museum of the History of Religion,федеральные (Министерство Культуры РФ),Россия,"190000, Санкт-Петербург, Почтамтская ул., 14/5",Адмиралтейский,+7 (812) 315-30-80,gmir.ru,gmir@relig-museum.ru,"Единственный в России музей, посвященный истории мировых религий",The unique museum in Russia dedicated to the history of world religions,"пн, чт-вс 10:00-18:00 
вт 13:00-21:00 
ср - выходной",нет,"59.931359,30.301387",1037843090944.0,7808006920.0
4144,Государственный музей истории Санкт-Петербурга,State Museum of The History of Saint-Petersburg,Городские (комитет по культуре),Россия,"191186, Санкт-Петербург, Петропавловская крепость, 3",Петроградский,+7 (812) 230-64-31; +7 (812) 498-05-11,spbmuseum.ru,gmi@spbmuseum.ru,"Комплекс памятников архитектуры XVIII-XX вв., постоянные и временные экспозиции","Complex of monuments of XVIII-XX centuries, permanent expositions and temporary exhibitions","Территория Петропавловской крепости: 
пн-вс  08:30 - 19:30
Экспозиции: 
10.00 - 17.00 или 11.00 - 18.00
(в зависимости от экспозиционной площадки)
ср - выходной",нет,"59.949632,30.318356",1037828028677.0,7813080598.0
4145,Государственный музей истории Санкт-Петербурга. Монумент героическим защитникам Ленинграда,State Museum of The History of Saint-Petersburg. Monument to the Heroic Defenders of Leningrad,Городские (комитет по культуре),Россия,"196240, Санкт-Петербург, пл. Победы, 1а",Московский,"+7 (812) 373-65-63;
+7 (812) 371-29-51",https://www.spbmuseum.ru/themuseum/museum_complex/monument_lenigrad/,gmi@spbmuseum.ru,"Мемориальный комплекс с памятным залом ""Блокада""","Memorial complex with an exposition hall ""The Siege""","пн-вс 11:00-18:00 
вт,пт 11:00-17:00 
ср - выходной",нет,"59.841785,30.321905",1037828028677.0,7813080598.0
4146,"Государственный музей истории Санкт-Петербурга, Музей петербургского авангарда (Дом М.В. Матюшина)",State Museum of The History of Saint-Petersburg.Museum of the Petersburg Avant-garde in Matyushin's House,Городские (комитет по культуре),Россия,"197022, Санкт-Петербург, ул. Профессора Попова, 10",Петроградский,+7 (812) 347-68-98,spbmuseum.ru,gmi@spbmuseum.ru,"Мемориальный дом М.В. Матюшина и экспозиция, посвященная истории петербургского авангардного искусства",Memorial apartment of Mikhail Matyushin and an exposition dedicated to the history of St. Petersburg avant-garde art,"пн, чт-вс 11:00-18:00
вт 11:00 - 17:00
ср - вых",нет,"59.97083,30.312508",1037828028677.0,7813080598.0
